Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
0,lane_detection,16:32:53.899620,16:32:54.001067,0.1014,0.000000,0.000000,0,0
0,car_overlay_reconstruction,16:32:54.007478,16:32:54.019003,0.0115,0.000000,0.000000,0,0
0,object_detection_yolo,16:32:54.025241,16:32:54.127415,0.1022,0.000000,0.000000,0,0
0,vehicle_analysis_postprocessing,16:32:54.135334,16:32:54.135465,0.0001,0.000000,0.000000,0,0
0,mqtt_communication,16:32:54.139550,16:32:54.139925,0.0004,0.000000,0.000000,0,0
1,lane_detection,16:32:54.226760,16:32:54.304260,0.0775,0.000000,0.000000,0,0
1,car_overlay_reconstruction,16:32:54.310416,16:32:54.312758,0.0023,0.000000,0.000000,0,0
1,object_detection_yolo,16:32:54.317663,16:32:54.353848,0.0362,0.000000,0.000000,0,0
1,vehicle_analysis_postprocessing,16:32:54.358182,16:32:54.358263,0.0001,0.000000,0.000000,0,0
1,mqtt_communication,16:32:54.362182,16:32:54.362423,0.0002,0.000000,0.000000,0,0
2,lane_detection,16:32:54.405407,16:32:54.493747,0.0883,0.000000,0.000000,0,0
2,car_overlay_reconstruction,16:32:54.498109,16:32:54.500675,0.0026,0.000000,0.000000,0,0
2,object_detection_yolo,16:32:54.505816,16:32:54.542253,0.0364,0.000000,0.000000,0,0
2,vehicle_analysis_postprocessing,16:32:54.547322,16:32:54.547401,0.0001,0.000000,0.000000,0,0
2,mqtt_communication,16:32:54.551717,16:32:54.551946,0.0002,0.000000,0.000000,0,0
3,lane_detection,16:32:54.587191,16:32:54.678657,0.0915,0.000000,0.000000,0,0
3,car_overlay_reconstruction,16:32:54.684700,16:32:54.687718,0.0030,0.000000,0.000000,0,0
3,object_detection_yolo,16:32:54.695257,16:32:54.732740,0.0375,0.000000,0.000000,0,0
3,vehicle_analysis_postprocessing,16:32:54.739683,16:32:54.739802,0.0001,0.000000,0.000000,0,0
3,mqtt_communication,16:32:54.746320,16:32:54.747365,0.0010,0.000000,0.000000,0,0
4,lane_detection,16:32:54.785166,16:32:54.876262,0.0911,0.000000,0.000000,0,0
4,car_overlay_reconstruction,16:32:54.882701,16:32:54.885458,0.0028,0.000000,0.000000,0,0
4,object_detection_yolo,16:32:54.891618,16:32:54.928849,0.0372,0.000000,0.000000,0,0
4,vehicle_analysis_postprocessing,16:32:54.935293,16:32:54.935393,0.0001,0.000000,0.000000,0,0
