Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,Estimated_Energy_Wh
0,lane_detection,16:48:26.661510,16:48:26.750984,0.089473,290.59,2846.43,27.75,0.230000,0.030000,0.00006695
0,car_overlay_reconstruction,16:48:26.751504,16:48:26.762922,0.011418,788.22,2846.43,0.00,0.080000,0.010000,0.00001864
0,object_detection_yolo,16:48:26.763398,16:48:26.865201,0.101803,795.66,2848.05,1.62,0.760000,0.050000,0.00016760
0,vehicle_analysis_postprocessing,16:48:26.865659,16:48:26.865813,0.000154,0.00,2848.05,0.00,0.000000,0.000000,0.00000004
0,mqtt_communication,16:48:26.866096,16:48:26.866505,0.000409,0.00,2848.05,0.00,0.000000,0.000000,0.00000009
1,lane_detection,16:48:26.955026,16:48:27.036138,0.081112,271.23,2886.16,12.25,0.210000,0.010000,0.00005816
1,car_overlay_reconstruction,16:48:27.036614,16:48:27.039247,0.002633,759.70,2886.16,0.00,0.020000,0.000000,0.00000417
1,object_detection_yolo,16:48:27.039563,16:48:27.074317,0.034754,805.67,2886.16,0.00,0.260000,0.020000,0.00005794
1,vehicle_analysis_postprocessing,16:48:27.074779,16:48:27.074933,0.000154,0.00,2886.16,0.00,0.000000,0.000000,0.00000004
1,mqtt_communication,16:48:27.075217,16:48:27.075617,0.000400,0.00,2886.16,0.00,0.000000,0.000000,0.00000009
2,lane_detection,16:48:27.114099,16:48:27.206778,0.092680,809.24,2899.78,0.38,0.710000,0.040000,0.00015520
2,car_overlay_reconstruction,16:48:27.207265,16:48:27.209908,0.002644,378.27,2899.78,0.00,0.010000,0.000000,0.00000240
2,object_detection_yolo,16:48:27.210253,16:48:27.245151,0.034898,802.34,2899.78,0.00,0.260000,0.020000,0.00005801
2,vehicle_analysis_postprocessing,16:48:27.245580,16:48:27.245746,0.000166,0.00,2899.78,0.00,0.000000,0.000000,0.00000004
2,mqtt_communication,16:48:27.246015,16:48:27.246418,0.000403,2483.31,2899.78,0.00,0.010000,0.000000,0.00000187
3,lane_detection,16:48:27.277447,16:48:27.369648,0.092201,802.59,2905.91,0.00,0.710000,0.030000,0.00015336
3,car_overlay_reconstruction,16:48:27.370138,16:48:27.372811,0.002673,748.25,2905.91,0.00,0.020000,0.000000,0.00000419
3,object_detection_yolo,16:48:27.373156,16:48:27.408051,0.034896,802.39,2905.91,0.00,0.270000,0.010000,0.00005803
3,vehicle_analysis_postprocessing,16:48:27.408504,16:48:27.408658,0.000153,0.00,2905.91,0.00,0.000000,0.000000,0.00000004
3,mqtt_communication,16:48:27.408926,16:48:27.409334,0.000409,0.00,2905.91,0.00,0.000000,0.000000,0.00000010
4,lane_detection,16:48:27.438376,16:48:27.518107,0.079731,815.24,2909.28,0.00,0.610000,0.040000,0.00013443
4,car_overlay_reconstruction,16:48:27.518569,16:48:27.521213,0.002643,756.62,2909.28,0.00,0.020000,0.000000,0.00000418
4,object_detection_yolo,16:48:27.521539,16:48:27.556323,0.034784,804.97,2909.28,0.00,0.260000,0.020000,0.00005801
4,vehicle_analysis_postprocessing,16:48:27.556766,16:48:27.556918,0.000152,6563.86,2909.28,0.00,0.010000,0.000000,0.00000181
4,mqtt_communication,16:48:27.557200,16:48:27.557563,0.000363,0.00,2909.28,0.00,0.000000,0.000000,0.00000009
5,lane_detection,16:48:27.585949,16:48:27.666938,0.080988,802.58,2911.66,0.00,0.620000,0.030000,0.00013475
5,car_overlay_reconstruction,16:48:27.667351,16:48:27.669769,0.002418,827.20,2911.66,0.00,0.020000,0.000000,0.00000413
5,object_detection_yolo,16:48:27.670070,16:48:27.704207,0.034137,820.22,2911.66,0.00,0.270000,0.010000,0.00005787
5,vehicle_analysis_postprocessing,16:48:27.704572,16:48:27.704726,0.000154,0.00,2911.66,0.00,0.000000,0.000000,0.00000004
5,mqtt_communication,16:48:27.704963,16:48:27.705292,0.000329,0.00,2911.66,0.00,0.000000,0.000000,0.00000008
6,lane_detection,16:48:27.734308,16:48:27.814261,0.079953,800.47,2915.16,0.00,0.600000,0.040000,0.00013275
6,car_overlay_reconstruction,16:48:27.814759,16:48:27.817353,0.002594,1156.31,2915.16,0.00,0.020000,0.010000,0.00000595
6,object_detection_yolo,16:48:27.817657,16:48:27.852446,0.034789,776.12,2915.16,0.00,0.260000,0.010000,0.00005625
6,vehicle_analysis_postprocessing,16:48:27.852860,16:48:27.853028,0.000167,0.00,2915.16,0.00,0.000000,0.000000,0.00000004
6,mqtt_communication,16:48:27.853316,16:48:27.853734,0.000418,0.00,2915.16,0.00,0.000000,0.000000,0.00000010
7,lane_detection,16:48:27.882823,16:48:27.962602,0.079780,814.74,2918.53,0.00,0.620000,0.030000,0.00013450
7,car_overlay_reconstruction,16:48:27.963046,16:48:27.965644,0.002598,769.88,2918.53,0.00,0.020000,0.000000,0.00000417
7,object_detection_yolo,16:48:27.965961,16:48:28.000782,0.034822,832.81,2918.53,0.00,0.270000,0.020000,0.00005983
7,vehicle_analysis_postprocessing,16:48:28.001246,16:48:28.001399,0.000153,0.00,2918.53,0.00,0.000000,0.000000,0.00000004
7,mqtt_communication,16:48:28.001667,16:48:28.002071,0.000404,2475.98,2918.53,0.00,0.010000,0.000000,0.00000187
8,lane_detection,16:48:28.031236,16:48:28.111559,0.080323,809.24,2922.28,0.25,0.620000,0.030000,0.00013466
8,car_overlay_reconstruction,16:48:28.112022,16:48:28.114608,0.002586,1160.14,2922.28,0.00,0.020000,0.010000,0.00000595
8,object_detection_yolo,16:48:28.114912,16:48:28.149719,0.034807,775.70,2922.28,0.00,0.260000,0.010000,0.00005628
8,vehicle_analysis_postprocessing,16:48:28.150156,16:48:28.150308,0.000152,0.00,2922.28,0.00,0.000000,0.000000,0.00000004
8,mqtt_communication,16:48:28.150573,16:48:28.150967,0.000395,0.00,2922.28,0.00,0.000000,0.000000,0.00000009
9,lane_detection,16:48:28.181767,16:48:28.261507,0.079740,802.61,2928.41,0.00,0.600000,0.040000,0.00013278
9,car_overlay_reconstruction,16:48:28.261967,16:48:28.264561,0.002594,770.87,2928.41,0.00,0.020000,0.000000,0.00000417
9,object_detection_yolo,16:48:28.264862,16:48:28.299402,0.034540,810.66,2928.41,0.00,0.260000,0.020000,0.00005801
9,vehicle_analysis_postprocessing,16:48:28.299740,16:48:28.299860,0.000120,0.00,2928.41,0.00,0.000000,0.000000,0.00000003
9,mqtt_communication,16:48:28.300063,16:48:28.300338,0.000275,0.00,2928.41,0.00,0.000000,0.000000,0.00000007
10,lane_detection,16:48:28.328909,16:48:28.406253,0.077344,814.54,2931.91,0.00,0.590000,0.040000,0.00013045
10,car_overlay_reconstruction,16:48:28.406656,16:48:28.409097,0.002442,819.12,2931.91,0.00,0.020000,0.000000,0.00000414
10,object_detection_yolo,16:48:28.409379,16:48:28.443357,0.033978,824.07,2931.91,0.00,0.260000,0.020000,0.00005788
10,vehicle_analysis_postprocessing,16:48:28.443691,16:48:28.443812,0.000121,0.00,2931.91,0.00,0.000000,0.000000,0.00000003
10,mqtt_communication,16:48:28.444112,16:48:28.444394,0.000282,0.00,2931.91,0.00,0.000000,0.000000,0.00000007
11,lane_detection,16:48:28.465903,16:48:28.546928,0.081025,814.56,2935.28,0.00,0.620000,0.040000,0.00013669
11,car_overlay_reconstruction,16:48:28.547379,16:48:28.549983,0.002605,767.84,2935.28,0.00,0.020000,0.000000,0.00000418
11,object_detection_yolo,16:48:28.550309,16:48:28.584946,0.034637,808.39,2935.28,0.00,0.260000,0.020000,0.00005805
11,vehicle_analysis_postprocessing,16:48:28.585296,16:48:28.585408,0.000113,0.00,2935.28,0.00,0.000000,0.000000,0.00000003
11,mqtt_communication,16:48:28.585598,16:48:28.585895,0.000298,0.00,2935.28,0.00,0.000000,0.000000,0.00000007
12,lane_detection,16:48:28.606312,16:48:28.682470,0.076158,800.97,2938.78,0.00,0.570000,0.040000,0.00012666
12,car_overlay_reconstruction,16:48:28.682829,16:48:28.685171,0.002342,854.06,2938.78,0.00,0.020000,0.000000,0.00000412
12,object_detection_yolo,16:48:28.685431,16:48:28.719230,0.033799,798.83,2938.78,0.00,0.260000,0.010000,0.00005608
12,vehicle_analysis_postprocessing,16:48:28.719558,16:48:28.719695,0.000138,7256.58,2938.78,0.00,0.010000,0.000000,0.00000181
12,mqtt_communication,16:48:28.719890,16:48:28.720189,0.000299,0.00,2938.78,0.00,0.000000,0.000000,0.00000007
13,lane_detection,16:48:28.739757,16:48:28.819179,0.079422,805.82,2942.66,0.50,0.590000,0.050000,0.00013280
13,car_overlay_reconstruction,16:48:28.819560,16:48:28.822047,0.002486,804.35,2942.66,0.00,0.020000,0.000000,0.00000415
13,object_detection_yolo,16:48:28.822315,16:48:28.856210,0.033896,796.55,2942.66,0.00,0.260000,0.010000,0.00005612
13,vehicle_analysis_postprocessing,16:48:28.856541,16:48:28.856653,0.000113,8886.24,2942.66,0.00,0.010000,0.000000,0.00000180
13,mqtt_communication,16:48:28.856844,16:48:28.857151,0.000307,0.00,2942.66,0.00,0.000000,0.000000,0.00000007
14,lane_detection,16:48:28.877921,16:48:28.955611,0.077690,785.17,2946.16,0.00,0.590000,0.020000,0.00012707
