Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,GPU_0_Utilization_%,GPU_0_Memory_MB,GPU_0_Memory_Delta_MB,GPU_0_Power_W,GPU_0_Power_Delta_W,GPU_1_Utilization_%,GPU_1_Memory_MB,GPU_1_Memory_Delta_MB,GPU_1_Power_W,GPU_1_Power_Delta_W,Total_GPU_Energy_Wh,Estimated_Total_Energy_Wh
0,lane_detection,10:24:46.170681,10:24:46.275877,0.105196,218.64,2847.43,26.88,0.200000,0.030000,0.00,1078.00,0.00,26.92,0.10,8.00,3027.44,-32.00,30.91,0.66,0.00168990,0.00175517
0,car_overlay_reconstruction,10:24:46.280462,10:24:46.290679,0.010217,783.01,2847.68,0.25,0.080000,0.000000,0.00,1078.00,0.00,26.92,-0.10,9.00,3027.44,0.00,31.82,1.16,0.00016672,0.00018331
0,object_detection_yolo,10:24:46.298735,10:24:46.399751,0.101017,801.85,2849.18,1.50,0.750000,0.060000,0.00,1094.00,16.00,31.99,10.23,9.00,3065.44,38.00,31.97,-0.87,0.00179459,0.00196201
0,vehicle_analysis_postprocessing,10:24:46.404488,10:24:46.405707,0.001219,820.16,2849.18,0.00,0.010000,0.000000,0.00,1094.00,0.00,37.10,0.00,9.00,3065.44,0.00,31.53,0.00,0.00002325,0.00002531
0,mqtt_communication,10:24:46.407149,10:24:46.408637,0.001488,672.06,2849.18,0.00,0.010000,0.000000,0.00,1094.00,0.00,37.10,0.00,9.00,3065.44,0.00,31.53,0.00,0.00002837,0.00003049
1,lane_detection,10:24:46.525690,10:24:46.620422,0.094732,253.35,2886.54,12.12,0.220000,0.020000,20.00,1094.00,0.00,26.87,0.00,13.50,3079.06,13.62,31.54,-1.34,0.00153708,0.00160200
1,car_overlay_reconstruction,10:24:46.624819,10:24:46.628802,0.003983,753.20,2886.54,0.00,0.020000,0.010000,20.00,1094.00,0.00,26.87,0.00,13.00,3079.06,0.00,30.87,0.00,0.00006388,0.00007015
1,object_detection_yolo,10:24:46.630348,10:24:46.672871,0.042523,776.05,2886.54,0.00,0.310000,0.020000,0.00,1094.00,0.00,40.84,27.74,13.00,3071.00,-0.06,32.07,2.40,0.00086114,0.00092980
1,vehicle_analysis_postprocessing,10:24:46.679710,10:24:46.680887,0.001177,849.91,2886.54,0.00,0.010000,0.000000,0.00,1094.00,0.00,54.71,0.00,13.00,3071.00,0.00,33.27,0.00,0.00002875,0.00003081
1,mqtt_communication,10:24:46.682017,10:24:46.683345,0.001328,753.02,2886.54,0.00,0.010000,0.000000,0.00,1094.00,0.00,54.71,0.00,13.00,3071.00,0.00,33.27,0.00,0.00003245,0.00003454
2,lane_detection,10:24:46.721900,10:24:46.817891,0.095990,718.82,2900.17,0.50,0.640000,0.050000,10.00,1094.00,0.00,27.21,-0.48,15.00,3069.12,-1.88,31.45,-1.16,0.00156409,0.00170942
2,car_overlay_reconstruction,10:24:46.822266,10:24:46.825771,0.003505,855.92,2900.17,0.00,0.030000,0.000000,20.00,1094.00,0.00,26.97,0.00,17.00,3069.12,0.00,30.87,0.00,0.00005631,0.00006247
2,object_detection_yolo,10:24:46.826992,10:24:46.865338,0.038347,808.42,2900.17,0.00,0.290000,0.020000,20.00,1094.00,0.00,40.51,27.08,17.00,3069.12,0.00,31.29,0.85,0.00076484,0.00082900
2,vehicle_analysis_postprocessing,10:24:46.869807,10:24:46.875360,0.005553,900.49,2900.17,0.00,0.040000,0.010000,20.00,1094.00,0.00,42.11,0.00,17.00,3069.12,0.00,31.39,-0.66,0.00011336,0.00012356
2,mqtt_communication,10:24:46.880047,10:24:46.881405,0.001358,736.36,2900.17,0.00,0.010000,0.000000,20.00,1094.00,0.00,42.11,0.00,17.00,3069.12,0.00,31.06,0.00,0.00002760,0.00002970
3,lane_detection,10:24:46.915896,10:24:47.016185,0.100289,757.81,2906.29,0.00,0.720000,0.040000,19.50,1094.00,0.00,27.16,-0.58,13.00,3069.12,0.00,31.78,-2.79,0.00164199,0.00180082
3,car_overlay_reconstruction,10:24:47.020847,10:24:47.024741,0.003894,513.60,2906.29,0.00,0.020000,0.000000,19.00,1094.00,0.00,26.87,0.00,13.00,3069.12,0.00,30.38,0.00,0.00006193,0.00006641
3,object_detection_yolo,10:24:47.026337,10:24:47.065363,0.039026,794.33,2906.29,0.00,0.280000,0.030000,19.00,1094.00,0.00,40.64,27.54,13.00,3069.12,0.00,31.49,2.21,0.00078194,0.00084629
3,vehicle_analysis_postprocessing,10:24:47.069934,10:24:47.071228,0.001294,773.00,2906.29,0.00,0.010000,0.000000,19.00,1094.00,0.00,47.92,-12.99,13.00,3069.12,0.00,32.84,0.51,0.00002902,0.00003111
3,mqtt_communication,10:24:47.080512,10:24:47.082160,0.001648,1213.45,2906.29,0.00,0.020000,0.000000,19.00,1094.00,0.00,41.43,0.00,13.00,3069.12,0.00,33.09,0.00,0.00003412,0.00003806
4,lane_detection,10:24:47.112566,10:24:47.205685,0.093118,805.43,2909.79,0.00,0.700000,0.050000,19.00,1094.00,0.00,27.21,-0.48,9.00,3075.12,0.00,31.88,-2.03,0.00152856,0.00168395
4,car_overlay_reconstruction,10:24:47.210387,10:24:47.214529,0.004142,965.76,2909.79,0.00,0.030000,0.010000,19.00,1094.00,0.00,26.92,-0.10,9.00,3075.12,0.00,30.62,-0.48,0.00006621,0.00007430
4,object_detection_yolo,10:24:47.220876,10:24:47.259899,0.039023,820.03,2909.79,0.00,0.300000,0.020000,19.00,1094.00,0.00,40.21,26.67,11.50,3069.12,0.00,31.29,1.82,0.00077507,0.00084120
4,vehicle_analysis_postprocessing,10:24:47.264476,10:24:47.265673,0.001197,835.35,2909.79,0.00,0.010000,0.000000,19.00,1094.00,0.00,53.55,0.00,14.00,3069.12,0.00,32.20,0.00,0.00002851,0.00003058
4,mqtt_communication,10:24:47.267099,10:24:47.268492,0.001392,718.33,2909.79,0.00,0.000000,0.010000,19.00,1094.00,0.00,53.55,0.00,14.00,3069.12,0.00,32.20,0.00,0.00003316,0.00003527
5,lane_detection,10:24:47.298405,10:24:47.394647,0.096242,810.46,2912.17,0.00,0.720000,0.060000,19.50,1094.00,0.00,27.55,-1.16,14.00,3069.12,0.00,32.31,-3.47,0.00160034,0.00176181
5,car_overlay_reconstruction,10:24:47.401697,10:24:47.406178,0.004480,892.79,2912.17,0.00,0.040000,0.000000,20.00,1094.00,0.00,26.97,0.00,14.00,3069.12,0.00,30.58,0.00,0.00007162,0.00007979
5,object_detection_yolo,10:24:47.407827,10:24:47.446185,0.038358,808.17,2912.17,0.00,0.290000,0.020000,20.00,1094.00,0.00,40.36,26.77,13.50,3069.12,0.00,31.29,1.43,0.00076343,0.00082763
5,vehicle_analysis_postprocessing,10:24:47.450828,10:24:47.452024,0.001196,836.35,2912.17,0.00,0.010000,0.000000,20.00,1094.00,0.00,47.68,-12.12,13.00,3069.12,0.00,32.01,0.00,0.00002647,0.00002853
