frame,emissions_kg,timestamp
0,1.476536479998517e-06,1756735267.1676621
1,1.5413502119346133e-06,1756735290.0749474
2,1.5809525149314303e-06,1756735312.8401258
3,1.4403853111627048e-06,1756735335.532375
4,1.5615208619452413e-06,1756735358.346787
5,1.5771013160826819e-06,1756735381.10403
6,1.3726579917181206e-06,1756735403.8447332
7,1.5984761033797325e-06,1756735426.5931685
8,1.5982243433587573e-06,1756735449.386497
9,1.4041229151004637e-06,1756735472.2175539
10,1.6687339345430784e-06,1756735494.990372
11,1.562660617550586e-06,1756735517.8551495
12,1.5430327342661585e-06,1756735540.6491945
13,1.5430638860935973e-06,1756735563.3792887
14,1.5958342141651454e-06,1756735586.0873115
15,1.5757268512196694e-06,1756735608.892446
16,1.5761844104317922e-06,1756735631.6921425
17,1.60473629269314e-06,1756735654.5517552
18,1.6780333650338543e-06,1756735677.3480241
19,1.370261778018188e-06,1756735700.0928438
20,1.5529726884096156e-06,1756735722.9918911
21,1.507126856132453e-06,1756735745.765017
22,1.4417409417563814e-06,1756735768.6222649
23,1.5841067151146344e-06,1756735791.4552042
24,1.402767470904202e-06,1756735814.307907
25,1.3484998766187108e-06,1756735837.1253824
26,1.5985207491802243e-06,1756735859.8978405
27,1.577997445538475e-06,1756735882.8938694
28,1.5918249398468198e-06,1756735905.7142189
29,1.5335414433489358e-06,1756735928.5203328
30,1.5879186481896513e-06,1756735951.296521
31,1.7003646417856474e-06,1756735974.0827765
32,1.549358088495673e-06,1756735996.9113107
33,1.539081918710641e-06,1756736019.682436
34,1.3247432855437234e-06,1756736042.4718535
35,1.5600654672086408e-06,1756736065.3431578
36,1.3468930115493639e-06,1756736088.1724408
37,1.547129626006652e-06,1756736110.9206944
38,1.5385719048128769e-06,1756736133.748926
39,1.3623600140439647e-06,1756736156.6030662
40,1.601771489675866e-06,1756736179.4230044
41,1.5506678801763203e-06,1756736202.3025372
42,1.5868949908437783e-06,1756736225.1255121
43,1.6116459076182254e-06,1756736247.9249382
44,1.5610570859130463e-06,1756736271.1459007
45,1.5081963659131067e-06,1756736294.0090988
46,1.6477224201931736e-06,1756736316.8593314
47,1.5438102396090139e-06,1756736339.6527293
48,1.5643913412248979e-06,1756736362.4405763
49,1.6040145382611473e-06,1756736385.2583895
50,1.4714232045754919e-06,1756736408.0891168
51,1.349109031016134e-06,1756736430.8901315
52,1.8086006448980408e-06,1756736453.914284
53,1.5284472011219906e-06,1756736476.6266513
54,1.3742828227271285e-06,1756736499.4465966
55,1.3762939594793498e-06,1756736522.2680352
56,1.6847144491457224e-06,1756736545.1027946
57,1.5695093483426341e-06,1756736567.8852432
58,1.3433322942906432e-06,1756736590.7587035
59,1.4201013775361259e-06,1756736613.6293082
60,1.3156164659906987e-06,1756736636.4548614
61,1.5455499120063647e-06,1756736659.245433
62,1.541924375493702e-06,1756736682.058902
63,1.6019248358281327e-06,1756736704.7668297
64,1.5391626461364355e-06,1756736727.536024
65,1.5793560365536369e-06,1756736750.3438706
