frame,emissions_kg,timestamp
0,5.552417050949684e-08,1756735280.7860289
1,5.687970425228025e-08,1756735303.6075726
2,4.1260368207792606e-08,1756735326.3426268
3,4.032120427566101e-08,1756735349.1602428
4,8.372704617901013e-08,1756735371.9212613
5,4.2575115698391194e-08,1756735394.6744194
6,6.008980352139513e-08,1756735417.3846014
7,7.573190307685919e-08,1756735440.1922636
8,4.216967654574631e-08,1756735463.0280814
9,4.0954104024412566e-08,1756735485.7976768
10,4.125836801924098e-08,1756735508.616967
11,6.93306179819764e-08,1756735531.402183
12,5.219700160001413e-08,1756735554.188988
13,4.396537593717674e-08,1756735576.911023
14,6.891284660892931e-08,1756735599.6883004
15,4.10596555518602e-08,1756735622.4798598
16,4.233993630431899e-08,1756735645.3331735
17,4.137444959895265e-08,1756735668.1644297
18,4.7524347677364536e-08,1756735690.8941672
19,6.401640483284048e-08,1756735713.7660468
20,5.914976098955158e-08,1756735736.5548184
21,9.149708709138621e-08,1756735759.4056144
22,5.64884741964612e-08,1756735782.2110484
23,5.307558414234727e-08,1756735805.0863824
24,6.619225098136191e-08,1756735827.9471538
25,4.2501043120904955e-08,1756735850.6915345
26,5.1486108349465144e-08,1756735873.6745112
27,4.297123979261771e-08,1756735896.496536
28,4.4090175741300246e-08,1756735919.3062718
29,5.269033715087188e-08,1756735942.0917668
30,4.107315741290501e-08,1756735964.8303022
31,4.7393619307058154e-08,1756735987.6966138
32,5.742062861742888e-08,1756736010.4928381
33,4.1945530092467456e-08,1756736033.2671103
34,5.775293972970866e-08,1756736056.095714
35,5.846279704996507e-08,1756736078.9878128
36,6.177688725751926e-08,1756736101.7199414
37,7.790520935958232e-08,1756736124.4903393
38,8.578618316829056e-08,1756736147.3765814
39,4.711210122462087e-08,1756736170.2698107
40,4.070174271567075e-08,1756736193.0689995
41,6.031600087797073e-08,1756736215.9069812
42,6.720285181382262e-08,1756736238.7118993
43,7.872092117010789e-08,1756736261.6088445
44,4.1444874409244906e-08,1756736284.790955
45,6.006009546082672e-08,1756736307.6413898
46,6.98415511109411e-08,1756736330.4342644
47,5.339816758122335e-08,1756736353.191419
48,4.069520987615383e-08,1756736376.0259619
49,4.357565204933372e-08,1756736398.84071
50,5.402367011383265e-08,1756736421.708266
51,3.762326094451448e-08,1756736444.7162335
52,5.4311527061543735e-08,1756736467.4964812
53,4.152585621448807e-08,1756736490.2573302
54,5.830394839098239e-08,1756736513.0745585
55,4.894662904125789e-08,1756736535.8546834
56,4.6575365174760995e-08,1756736558.6841114
57,3.996808427000882e-08,1756736581.5599144
58,6.111241426191895e-08,1756736604.3822992
59,6.277745813723686e-08,1756736627.2716913
60,6.0270910125323e-08,1756736650.0104
61,4.068116480291443e-08,1756736672.8232493
62,4.135478918920523e-08,1756736695.573612
63,4.2641626297209315e-08,1756736718.3392766
64,6.358736833296624e-08,1756736741.0950184
65,4.108707359344568e-08,1756736763.9397888
66,4.256247240638055e-08,1756736786.6902168
67,6.182007068193345e-08,1756736809.463646
68,1.2138404260100457e-07,1756736832.238895
69,6.072535481068278e-08,1756736855.0290763
70,4.158553546884833e-08,1756736877.7855806
71,5.975167331904442e-08,1756736900.607671
72,4.399389505866212e-08,1756736923.3637638
73,4.241179101631708e-08,1756736946.1140957
74,5.204654932172449e-08,1756736968.978315
75,7.114723902192155e-08,1756736991.76481
76,7.950991084043422e-08,1756737014.5827143
77,7.315714937221965e-08,1756737037.2885888
78,4.377359981259598e-08,1756737060.0756447
79,8.679780591289606e-08,1756737082.9556637
80,8.236957093292401e-08,1756737105.9289508
