frame,emissions_kg,timestamp
0,2.444828426642238e-07,1756735271.681914
1,1.3234118082225644e-07,1756735294.546049
2,1.6550941414005957e-07,1756735317.3230958
3,1.2181802011112864e-07,1756735340.0366113
4,1.6096972567849454e-07,1756735362.846601
5,1.0231669918024032e-07,1756735385.5941842
6,1.700325603352433e-07,1756735408.3342493
7,1.2686660692401005e-07,1756735431.1132193
8,1.0870435573568222e-07,1756735453.9254456
9,1.5854515276867077e-07,1756735476.750949
10,1.3568414720326932e-07,1756735499.5528915
11,1.51276964904557e-07,1756735522.3468769
12,1.3592125045210261e-07,1756735545.1546981
13,1.3913487384197573e-07,1756735567.8464677
14,1.7685659282050706e-07,1756735590.6026099
15,1.848640204310489e-07,1756735613.3799121
16,1.3965501971662556e-07,1756735636.1783557
17,1.3916586177644465e-07,1756735659.0533092
18,1.0367657573383218e-07,1756735681.8138168
19,1.3630045385057145e-07,1756735704.6069558
20,1.3522077452631238e-07,1756735727.513698
21,1.7678787524432978e-07,1756735750.3257873
22,1.336577091452774e-07,1756735773.1222837
23,1.5244572221470672e-07,1756735796.0505357
24,1.1165653724409411e-07,1756735818.8495724
25,1.393469859452656e-07,1756735841.6536372
26,1.3159154565923324e-07,1756735864.5634618
27,1.7535315659101113e-07,1756735887.4281044
28,1.7690349079770178e-07,1756735910.2401783
29,1.3527800413645072e-07,1756735933.017362
30,1.409048105770905e-07,1756735955.7887297
31,1.3327094976461559e-07,1756735978.6209238
32,1.7338804577699745e-07,1756736001.4368975
33,1.729698143247973e-07,1756736024.2138953
34,1.3259398242371443e-07,1756736046.9838147
35,1.3222727366370926e-07,1756736069.8556335
36,1.8129316530477693e-07,1756736092.6611874
37,1.1864125161783718e-07,1756736115.4032226
38,1.3761690877817845e-07,1756736138.2571795
39,1.3874375486716017e-07,1756736161.0986857
40,1.639348780962034e-07,1756736183.9900806
41,1.1538086566333734e-07,1756736206.794121
42,1.4275784947324493e-07,1756736229.6245992
43,1.770914057118945e-07,1756736252.4756048
44,1.81069439672488e-07,1756736275.6618931
45,1.7823081178509295e-07,1756736298.517692
46,1.3770708408274714e-07,1756736321.3828874
47,1.7506725319301015e-07,1756736344.1456742
48,1.0789021264641113e-07,1756736366.946086
49,1.6887401938209637e-07,1756736389.754941
50,1.8650247236903585e-07,1756736412.6194274
51,8.157136172680873e-08,1756736435.4841087
52,1.359167696024649e-07,1756736458.4437823
53,1.5221009594728884e-07,1756736481.115841
54,1.3987584964013e-07,1756736503.9502587
55,1.6507784257246036e-07,1756736526.7881513
56,1.3326295471079914e-07,1756736549.6157563
57,1.831539792169004e-07,1756736572.4396074
58,1.468067206597553e-07,1756736595.2847564
59,1.1624449844152879e-07,1756736618.1632679
60,1.5295814306386194e-07,1756736640.9406123
61,1.69881678453147e-07,1756736663.7363696
62,1.4211413060808722e-07,1756736686.5214572
63,1.5115222727555195e-07,1756736709.26999
64,1.0156734655038136e-07,1756736732.0226505
65,1.797386271041056e-07,1756736754.8489876
66,1.6301707195767816e-07,1756736777.6342626
67,1.0632939944663979e-07,1756736800.371804
68,1.5629335987229278e-07,1756736823.1510315
69,1.509826575930878e-07,1756736845.9635973
70,1.4508169261168386e-07,1756736868.7112615
71,1.01188761184055e-07,1756736891.4971733
72,1.287117938158307e-07,1756736914.2835941
73,1.4434686444457977e-07,1756736937.0615113
74,1.1943645586532472e-07,1756736959.8221714
75,1.4884336990794263e-07,1756736982.6742144
76,1.498742983621748e-07,1756737005.4904263
77,1.4146201245674803e-07,1756737028.2320182
78,1.0436594318260523e-07,1756737050.950939
79,1.3873341415522352e-07,1756737073.8908908
80,1.3763382226711575e-07,1756737096.8846996
81,9.507357123480647e-08,1756737119.7316976
82,1.2217112274020161e-07,1756737142.6273293
83,1.6666546384376608e-07,1756737165.4920452
84,1.7845920876191136e-07,1756737188.3424609
85,1.7400152383270868e-07,1756737211.1018424
86,1.9542405935275809e-07,1756737233.923829
87,1.7688779611051698e-07,1756737256.684183
88,1.0426432264079626e-07,1756737279.4984722
89,1.4126878490495325e-07,1756737302.339244
90,1.915471892601233e-07,1756737325.1350935
91,1.2933606039478236e-07,1756737347.947333
92,1.2830768259684453e-07,1756737370.745895
93,9.925230763489206e-08,1756737393.5768564
94,1.4339769189480398e-07,1756737416.4333851
95,1.6664069100357912e-07,1756737439.223027
96,1.352919342973231e-07,1756737462.0261476
97,1.3982285409133587e-07,1756737484.7643135
98,1.2015948450361428e-07,1756737507.4822927
99,1.3848374948827273e-07,1756737530.3193314
100,1.5615680371213171e-07,1756737553.145113
101,1.022366878207052e-07,1756737576.0773604
102,1.129545937400781e-07,1756737598.8283532
103,1.3999436256204614e-07,1756737621.613333
104,1.5813323492693638e-07,1756737644.338365
105,1.4488799148275217e-07,1756737667.072416
106,1.392987607346752e-07,1756737689.788595
107,1.1516633927852778e-07,1756737712.5607831
108,1.342813997423299e-07,1756737735.2690477
109,1.0633928440598142e-07,1756737757.9139817
110,1.034687547343338e-07,1756737780.6855848
111,1.4449501448065228e-07,1756737803.4825156
112,7.897594820394482e-08,1756737826.2100458
113,1.616488332056355e-07,1756737849.0327175
114,1.4025010085688018e-07,1756737871.8015966
115,1.0064177341953112e-07,1756737894.6447985
116,1.4403441932345561e-07,1756737917.4587448
117,1.3779086584688853e-07,1756737940.3135116
118,1.3785391496633141e-07,1756737963.166141
119,1.5186136491653926e-07,1756737986.0186439
120,1.381146656793008e-07,1756738008.851722
121,1.3159090046626515e-07,1756738031.616654
122,1.3667138955091372e-07,1756738054.3900657
123,1.6082003041276435e-07,1756738077.2401915
124,1.0303094396635625e-07,1756738100.0301683
125,1.2469209061138295e-07,1756738122.9077365
126,1.4035237744176538e-07,1756738145.7638102
127,1.1181162110807288e-07,1756738168.8510516
128,1.0693850877916704e-07,1756738191.82056
129,1.1959166795051537e-07,1756738214.8383036
130,1.7142128560573432e-07,1756738237.8970008
131,9.733096586396891e-08,1756738260.8940165
132,9.885614302818736e-08,1756738283.8069482
133,1.412232063542329e-07,1756738306.7956264
134,1.4394426190226606e-07,1756738329.5837722
135,1.945287811489783e-07,1756738352.3833597
